threshold_name,threshold,TP,FP,FN,TN,precision,recall,specificity,f1,auc,ap,n_pos,n_neg,n_total
operating_p0.50,0.5,1107,4991,383,8519,0.1815,0.743,0.6306,0.2918,0.7518,0.2107,1490,13510,15000
youden_j_0.436,0.4358,1259,6250,231,7260,0.1677,0.845,0.5374,0.2798,0.7518,0.2107,1490,13510,15000
