condition,n_trials,successes,asr,wilson_ci_lo,wilson_ci_hi
baseline,800,690,0.8625,0.8369,0.8846
mitigated_boundary_sanitizer,800,82,0.1025,0.0833,0.1255

--- per obfuscation class ---
obfuscation,n,base_success,base_asr,mit_success,mit_asr
none,344,324,0.9419,0,0.0
zerowidth,175,146,0.8343,0,0.0
spaced,102,82,0.8039,0,0.0
homoglyph,179,138,0.7709,82,0.4581
