task_id,controller,seed,success,total_cost,turns_used,intervention_count,final_drift,cnsr
task_000,NoControl,42,False,1.0000000000000004,50,0,0.4450111238538712,0.0
task_001,NoControl,55,False,1.0000000000000004,50,0,0.36355249775624665,0.0
task_002,NoControl,68,False,1.0000000000000004,50,0,0.575459073075097,0.0
task_003,NoControl,81,False,1.0000000000000004,50,0,0.4849985184188248,0.0
task_004,NoControl,94,False,1.0000000000000004,50,0,0.4847359233996704,0.0
task_005,NoControl,107,False,1.0000000000000004,50,0,0.4904125994053861,0.0
task_006,NoControl,120,False,1.0000000000000004,50,0,0.4282580516173567,0.0
task_007,NoControl,133,False,1.0000000000000004,50,0,0.5378966014195491,0.0
task_008,NoControl,146,False,1.0000000000000004,50,0,0.5468929309612902,0.0
task_009,NoControl,159,False,1.0000000000000004,50,0,0.457877601558514,0.0
task_010,NoControl,172,False,1.0000000000000004,50,0,0.4849818912578247,0.0
task_011,NoControl,185,False,1.0000000000000004,50,0,0.5462979179135686,0.0
task_012,NoControl,198,False,1.0000000000000004,50,0,0.39455304040792,0.0
task_013,NoControl,211,False,1.0000000000000004,50,0,0.4664344229558373,0.0
task_014,NoControl,224,False,1.0000000000000004,50,0,0.3882123675653018,0.0
task_015,NoControl,237,False,1.0000000000000004,50,0,0.4918544658459859,0.0
task_016,NoControl,250,False,1.0000000000000004,50,0,0.6042187270639752,0.0
task_017,NoControl,263,False,1.0000000000000004,50,0,0.49614786406504613,0.0
task_018,NoControl,276,False,1.0000000000000004,50,0,0.5279299555783817,0.0
task_019,NoControl,289,False,1.0000000000000004,50,0,0.4704768877801163,0.0
task_020,NoControl,302,False,1.0000000000000004,50,0,0.46609598301035926,0.0
task_021,NoControl,315,False,1.0000000000000004,50,0,0.5634848883489866,0.0
task_022,NoControl,328,False,1.0000000000000004,50,0,0.45383915611968073,0.0
task_023,NoControl,341,False,1.0000000000000004,50,0,0.5252223974693373,0.0
task_024,NoControl,354,False,1.0000000000000004,50,0,0.5335814027252187,0.0
task_025,NoControl,367,False,1.0000000000000004,50,0,0.5334969726442002,0.0
task_026,NoControl,380,False,1.0000000000000004,50,0,0.5060485331632127,0.0
task_027,NoControl,393,False,1.0000000000000004,50,0,0.5517562041773866,0.0
task_028,NoControl,406,False,1.0000000000000004,50,0,0.45015711095129846,0.0
task_029,NoControl,419,False,1.0000000000000004,50,0,0.4827952156680761,0.0
task_030,NoControl,432,False,1.0000000000000004,50,0,0.40501038716176774,0.0
task_031,NoControl,445,False,1.0000000000000004,50,0,0.5461130840886579,0.0
task_032,NoControl,458,False,1.0000000000000004,50,0,0.5292459814895976,0.0
task_033,NoControl,471,False,1.0000000000000004,50,0,0.5139708807227514,0.0
task_034,NoControl,484,False,1.0000000000000004,50,0,0.4953758589492503,0.0
task_035,NoControl,497,False,1.0000000000000004,50,0,0.42078173382116135,0.0
task_036,NoControl,510,False,1.0000000000000004,50,0,0.43243468813972363,0.0
task_037,NoControl,523,False,1.0000000000000004,50,0,0.4497470128942931,0.0
task_038,NoControl,536,False,1.0000000000000004,50,0,0.3535110171663238,0.0
task_039,NoControl,549,False,1.0000000000000004,50,0,0.4711169734672753,0.0
task_040,NoControl,562,False,1.0000000000000004,50,0,0.5867085005845173,0.0
task_041,NoControl,575,False,1.0000000000000004,50,0,0.5116449837778454,0.0
task_042,NoControl,588,False,1.0000000000000004,50,0,0.45711077997319277,0.0
task_043,NoControl,601,False,1.0000000000000004,50,0,0.5082941426359803,0.0
task_044,NoControl,614,False,1.0000000000000004,50,0,0.3987677466039756,0.0
task_045,NoControl,627,False,1.0000000000000004,50,0,0.5183855602640822,0.0
task_046,NoControl,640,False,1.0000000000000004,50,0,0.5039370450168985,0.0
task_047,NoControl,653,False,1.0000000000000004,50,0,0.46253727969560143,0.0
task_048,NoControl,666,False,1.0000000000000004,50,0,0.4488551348051915,0.0
task_049,NoControl,679,False,1.0000000000000004,50,0,0.48187603292151104,0.0
task_000,NoControl,1139,False,1.0000000000000004,50,0,0.5053476454602326,0.0
task_001,NoControl,1152,False,1.0000000000000004,50,0,0.4301012760315341,0.0
task_002,NoControl,1165,False,1.0000000000000004,50,0,0.3882207233635187,0.0
task_003,NoControl,1178,False,1.0000000000000004,50,0,0.4519309386389711,0.0
task_004,NoControl,1191,False,1.0000000000000004,50,0,0.5771623869095246,0.0
task_005,NoControl,1204,False,1.0000000000000004,50,0,0.4348862671175444,0.0
task_006,NoControl,1217,False,1.0000000000000004,50,0,0.5755841333301978,0.0
task_007,NoControl,1230,False,1.0000000000000004,50,0,0.5716705164479737,0.0
task_008,NoControl,1243,False,1.0000000000000004,50,0,0.48962734314788375,0.0
task_009,NoControl,1256,False,1.0000000000000004,50,0,0.469439208182124,0.0
task_010,NoControl,1269,False,1.0000000000000004,50,0,0.5723129014537008,0.0
task_011,NoControl,1282,False,1.0000000000000004,50,0,0.5009114596638934,0.0
task_012,NoControl,1295,False,1.0000000000000004,50,0,0.43793802688153227,0.0
task_013,NoControl,1308,False,1.0000000000000004,50,0,0.5548217531325991,0.0
task_014,NoControl,1321,False,1.0000000000000004,50,0,0.5292081247848476,0.0
task_015,NoControl,1334,False,1.0000000000000004,50,0,0.4451764231491514,0.0
task_016,NoControl,1347,False,1.0000000000000004,50,0,0.4604868207666516,0.0
task_017,NoControl,1360,False,1.0000000000000004,50,0,0.361538081896814,0.0
task_018,NoControl,1373,False,1.0000000000000004,50,0,0.5002988709931233,0.0
task_019,NoControl,1386,False,1.0000000000000004,50,0,0.41063524542110774,0.0
task_020,NoControl,1399,False,1.0000000000000004,50,0,0.5412873732857967,0.0
task_021,NoControl,1412,False,1.0000000000000004,50,0,0.4208889920165831,0.0
task_022,NoControl,1425,False,1.0000000000000004,50,0,0.4760569351612267,0.0
task_023,NoControl,1438,False,1.0000000000000004,50,0,0.4987072750818189,0.0
task_024,NoControl,1451,False,1.0000000000000004,50,0,0.3815615123571513,0.0
task_025,NoControl,1464,False,1.0000000000000004,50,0,0.6030389191831496,0.0
task_026,NoControl,1477,False,1.0000000000000004,50,0,0.4815084448984313,0.0
task_027,NoControl,1490,False,1.0000000000000004,50,0,0.5081207168709161,0.0
task_028,NoControl,1503,False,1.0000000000000004,50,0,0.43260773456710067,0.0
task_029,NoControl,1516,False,1.0000000000000004,50,0,0.42673717108568987,0.0
task_030,NoControl,1529,False,1.0000000000000004,50,0,0.4672641849721379,0.0
task_031,NoControl,1542,False,1.0000000000000004,50,0,0.41945344422566333,0.0
task_032,NoControl,1555,False,1.0000000000000004,50,0,0.46042982076544,0.0
task_033,NoControl,1568,False,1.0000000000000004,50,0,0.5658358857850901,0.0
task_034,NoControl,1581,False,1.0000000000000004,50,0,0.5081516097531027,0.0
task_035,NoControl,1594,False,1.0000000000000004,50,0,0.42784334316584877,0.0
task_036,NoControl,1607,False,1.0000000000000004,50,0,0.5158529966962879,0.0
task_037,NoControl,1620,False,1.0000000000000004,50,0,0.5408785700909243,0.0
task_038,NoControl,1633,False,1.0000000000000004,50,0,0.5241130828309213,0.0
task_039,NoControl,1646,False,1.0000000000000004,50,0,0.3805210788182917,0.0
task_040,NoControl,1659,False,1.0000000000000004,50,0,0.4709589558438278,0.0
task_041,NoControl,1672,False,1.0000000000000004,50,0,0.5437310213790926,0.0
